Filename,Predictions,Truth
1_8_028.png,shoes,boots
1_8_004.png,boots,boots
1_8_023.png,shoes,boots
1_7_016.png,bracelet,bracelet
1_7_011.png,handbag,bracelet
1_9_018.png,earrings,earrings
1_9_022.png,earrings,earrings
1_9_011.png,earrings,earrings
1_2_031.png,ring,handbag
1_2_003.png,handbag,handbag
1_2_027.png,handbag,handbag
1_2_054.png,handbag,handbag
1_2_036.png,handbag,handbag
1_2_032.png,handbag,handbag
1_1_018.png,lipstick,lipstick
1_1_022.png,lipstick,lipstick
1_1_011.png,lipstick,lipstick
1_3_004.png,nail polish,nail polish
1_3_014.png,lipstick,nail polish
1_4_004.png,necklace,necklace
1_4_003.png,necklace,necklace
1_4_024.png,necklace,necklace
1_4_040.png,handbag,necklace
1_6_015.png,ring,ring
1_6_022.png,ring,ring
1_6_019.png,ring,ring
1_0_031.png,shoes,shoes
1_0_003.png,shoes,shoes
1_0_052.png,shoes,shoes
1_0_033.png,shoes,shoes
1_0_032.png,shoes,shoes
1_5_015.png,watches,watches
1_5_020.png,watches,watches
1_5_004.png,bracelet,watches
1_5_030.png,watches,watches
4_8_004.png,boots,boots
4_8_016.png,boots,boots
4_7_028.png,ring,bracelet
4_7_004.png,necklace,bracelet
4_7_020.png,earrings,bracelet
4_9_028.png,earrings,earrings
4_9_035.png,earrings,earrings
4_9_040.png,earrings,earrings
4_9_049.png,earrings,earrings
4_9_003.png,earrings,earrings
4_2_064.png,handbag,handbag
4_2_032.png,handbag,handbag
4_2_027.png,handbag,handbag
4_2_037.png,handbag,handbag
4_2_066.png,handbag,handbag
4_2_048.png,handbag,handbag
4_2_036.png,handbag,handbag
4_1_045.png,lipstick,lipstick
4_1_003.png,lipstick,lipstick
4_1_047.png,lipstick,lipstick
4_1_020.png,lipstick,lipstick
4_1_033.png,lipstick,lipstick
4_1_034.png,lipstick,lipstick
4_3_028.png,earrings,nail polish
4_3_004.png,nail polish,nail polish
4_3_020.png,nail polish,nail polish
4_4_003.png,necklace,necklace
4_4_031.png,necklace,necklace
4_4_004.png,necklace,necklace
4_4_022.png,necklace,necklace
4_6_011.png,ring,ring
4_6_071.png,ring,ring
4_6_048.png,ring,ring
4_6_055.png,ring,ring
4_6_041.png,ring,ring
4_6_066.png,ring,ring
4_6_060.png,ring,ring
4_6_082.png,ring,ring
4_0_004.png,shoes,shoes
4_0_003.png,shoes,shoes
4_0_031.png,shoes,shoes
4_0_022.png,shoes,shoes
4_5_025.png,watches,watches
4_5_023.png,watches,watches
4_5_040.png,watches,watches
4_5_036.png,watches,watches
4_5_003.png,watches,watches
0_8_015.png,boots,boots
0_8_022.png,shoes,boots
0_8_019.png,boots,boots
0_2_025.png,lipstick,handbag
0_2_018.png,handbag,handbag
0_2_020.png,handbag,handbag
0_1_004.png,lipstick,lipstick
0_1_003.png,lipstick,lipstick
0_1_031.png,lipstick,lipstick
0_1_022.png,lipstick,lipstick
0_3_003.png,necklace,nail polish
0_3_030.png,lipstick,nail polish
0_3_004.png,nail polish,nail polish
0_3_023.png,shoes,nail polish
0_0_092.png,shoes,shoes
0_0_083.png,shoes,shoes
0_0_032.png,shoes,shoes
0_0_028.png,shoes,shoes
0_0_078.png,shoes,shoes
0_0_018.png,shoes,shoes
0_0_098.png,shoes,shoes
0_0_081.png,shoes,shoes
0_0_068.png,shoes,shoes
0_0_063.png,shoes,shoes
2_8_007.png,boots,boots
2_8_004.png,boots,boots
2_9_007.png,lipstick,earrings
2_9_004.png,earrings,earrings
2_2_062.png,handbag,handbag
2_2_035.png,handbag,handbag
2_2_049.png,handbag,handbag
2_2_055.png,handbag,handbag
2_2_065.png,handbag,handbag
2_2_058.png,handbag,handbag
2_2_034.png,handbag,handbag
2_1_003.png,lipstick,lipstick
2_1_030.png,lipstick,lipstick
2_1_004.png,lipstick,lipstick
2_1_023.png,lipstick,lipstick
2_3_004.png,nail polish,nail polish
2_4_007.png,necklace,necklace
2_4_004.png,earrings,necklace
2_6_007.png,ring,ring
2_0_066.png,shoes,shoes
2_0_027.png,shoes,shoes
2_0_068.png,shoes,shoes
2_0_055.png,shoes,shoes
2_0_028.png,shoes,shoes
2_0_062.png,shoes,shoes
2_0_050.png,shoes,shoes
2_5_003.png,watches,watches
3_8_004.png,boots,boots
3_8_008.png,boots,boots
3_7_018.png,shoes,bracelet
3_7_022.png,bracelet,bracelet
3_7_011.png,bracelet,bracelet
3_9_015.png,earrings,earrings
3_9_014.png,earrings,earrings
3_2_062.png,handbag,handbag
3_2_035.png,handbag,handbag
3_2_049.png,handbag,handbag
3_2_055.png,handbag,handbag
3_2_065.png,handbag,handbag
3_2_058.png,handbag,handbag
3_2_034.png,handbag,handbag
3_1_003.png,lipstick,lipstick
3_3_009.png,nail polish,nail polish
3_4_020.png,necklace,necklace
3_4_017.png,necklace,necklace
3_6_025.png,shoes,ring
3_6_023.png,ring,ring
3_6_040.png,ring,ring
3_6_036.png,ring,ring
3_6_003.png,ring,ring
3_0_064.png,shoes,shoes
3_0_028.png,shoes,shoes
3_0_032.png,shoes,shoes
3_0_070.png,shoes,shoes
3_0_047.png,shoes,shoes
3_0_048.png,shoes,shoes
3_0_054.png,shoes,shoes
3_0_075.png,shoes,shoes
3_5_019.png,watches,watches
3_5_014.png,watches,watches
3_5_018.png,watches,watches
5_8_007.png,boots,boots
5_8_004.png,boots,boots
5_7_004.png,ring,bracelet
5_7_014.png,bracelet,bracelet
5_9_016.png,earrings,earrings
5_9_011.png,earrings,earrings
5_2_020.png,handbag,handbag
5_2_057.png,handbag,handbag
5_2_011.png,handbag,handbag
5_2_072.png,handbag,handbag
5_2_056.png,handbag,handbag
5_2_027.png,handbag,handbag
5_2_041.png,handbag,handbag
5_2_034.png,handbag,handbag
5_4_004.png,necklace,necklace
5_6_021.png,ring,ring
5_6_018.png,ring,ring
5_0_040.png,shoes,shoes
5_0_042.png,shoes,shoes
5_0_003.png,shoes,shoes
5_0_049.png,shoes,shoes
5_0_051.png,shoes,shoes
5_0_045.png,shoes,shoes
5_5_004.png,watches,watches
5_5_016.png,watches,watches
6_8_018.png,boots,boots
6_8_015.png,boots,boots
6_8_019.png,boots,boots
6_7_007.png,ring,bracelet
6_7_004.png,bracelet,bracelet
6_9_016.png,lipstick,earrings
6_9_011.png,boots,earrings
6_2_031.png,handbag,handbag
6_2_003.png,handbag,handbag
6_2_027.png,handbag,handbag
6_2_054.png,handbag,handbag
6_2_036.png,handbag,handbag
6_2_032.png,handbag,handbag
6_1_028.png,lipstick,lipstick
6_1_035.png,lipstick,lipstick
6_1_040.png,lipstick,lipstick
6_1_049.png,lipstick,lipstick
6_1_003.png,lipstick,lipstick
6_3_004.png,nail polish,nail polish
6_3_003.png,nail polish,nail polish
6_3_031.png,nail polish,nail polish
6_3_022.png,handbag,nail polish
6_4_004.png,necklace,necklace
6_4_008.png,necklace,necklace
6_6_008.png,ring,ring
6_0_028.png,shoes,shoes
6_0_036.png,shoes,shoes
6_0_041.png,shoes,shoes
6_0_039.png,shoes,shoes
6_0_003.png,shoes,shoes
